experiment_id,date,family,hypothesis,pair,session,timeframe,params_json,dataset_start,dataset_end,is_trades,is_wr,is_pf,is_dd,is_prof_months,oos_trades,oos_wr,oos_pf,oos_pnl,oos_dd,wf_folds,wf_consistency_pct,mc_risk_of_ruin_pct,decision,status,notes
EXP-001,2026-08-11,smoke_test,sanity check only -- not a real experiment,GBPJPY,asian,H1,"{""tp_mult"": 2.0, ""h4_filter"": false}",2023-06-28,2026-08-11,200,48.0,1.33,5.54,62.2,0,0.0,0.0,0.0,0.0,4.0,50.0,0.0,INVESTIGATE,RESEARCHING,"tooling smoke test, will be superseded"
EXP-002,2026-08-11,pdh_pdl_breakout,PDH/PDL breakout: H1 close beyond the previous complete day's high/low during session hours continues in that direction,EURUSD,london,H1,{},2023-06-28,2026-08-11,286,38.8,0.94,11.0,52.0,142,38.0,0.92,-3321.91,7.11,,,,REJECT,FAILED,pdh_breakout
EXP-003,2026-08-11,pdh_pdl_rejection,PDH/PDL rejection: a break of the previous day's high/low that closes back inside within 3 bars reverses,EURUSD,london,H1,{},2023-06-28,2026-08-11,128,48.4,1.0,5.47,52.0,63,38.1,0.76,-4561.23,7.31,,,,REJECT,FAILED,pdh_rejection
EXP-004,2026-08-11,pdh_pdl_breakout,PDH/PDL breakout: H1 close beyond the previous complete day's high/low during session hours continues in that direction,EURUSD,ny,H1,{},2023-06-28,2026-08-11,337,36.5,0.85,16.65,44.0,158,37.3,0.9,-4311.33,12.81,,,,REJECT,FAILED,pdh_breakout
EXP-005,2026-08-11,pdh_pdl_rejection,PDH/PDL rejection: a break of the previous day's high/low that closes back inside within 3 bars reverses,EURUSD,ny,H1,{},2023-06-28,2026-08-11,135,48.1,1.01,5.7,52.0,58,44.8,0.9,-1308.73,5.37,,,,REJECT,FAILED,pdh_rejection
EXP-006,2026-08-11,pdh_pdl_breakout,PDH/PDL breakout: H1 close beyond the previous complete day's high/low during session hours continues in that direction,GBPUSD,london,H1,{},2023-06-28,2026-08-11,291,38.1,0.91,16.24,32.0,149,33.6,0.76,-11194.59,12.86,,,,REJECT,FAILED,pdh_breakout
EXP-007,2026-08-11,pdh_pdl_rejection,PDH/PDL rejection: a break of the previous day's high/low that closes back inside within 3 bars reverses,GBPUSD,london,H1,{},2023-06-28,2026-08-11,135,48.1,0.99,6.25,52.0,76,52.6,1.15,3004.62,3.68,,,,REJECT,FAILED,pdh_rejection
EXP-008,2026-08-11,pdh_pdl_breakout,PDH/PDL breakout: H1 close beyond the previous complete day's high/low during session hours continues in that direction,GBPUSD,ny,H1,{},2023-06-28,2026-08-11,340,37.9,0.9,16.8,48.0,168,32.1,0.73,-13694.05,17.32,,,,REJECT,FAILED,pdh_breakout
EXP-009,2026-08-11,pdh_pdl_rejection,PDH/PDL rejection: a break of the previous day's high/low that closes back inside within 3 bars reverses,GBPUSD,ny,H1,{},2023-06-28,2026-08-11,142,43.7,0.83,9.21,32.0,74,50.0,1.03,464.83,6.0,,,,REJECT,FAILED,pdh_rejection
EXP-010,2026-08-11,pdh_pdl_breakout,PDH/PDL breakout: H1 close beyond the previous complete day's high/low during session hours continues in that direction,USDJPY,london,H1,{},2023-06-28,2026-08-11,305,35.7,0.85,19.23,32.0,155,39.4,0.94,-2690.86,13.4,,,,REJECT,FAILED,pdh_breakout
